"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 11, 2015",Kansas,Manhattan,"1004 N. 8th Street",1,0,N/A
"December 10, 2015",Missouri,"Saint Louis","5000 block of Granberry Way Lane",0,1,N/A
"December 10, 2015","New York","Buffalo (Cheektowaga)","13 Florette Drive",0,0,N/A
"December 10, 2015","North Carolina",Cornelius,"20600 block of Catawba Avenue",0,0,N/A
"December 10, 2015",Ohio,"Cincinnati (Evanston)","1500 block of Jonathan Avenue",1,0,N/A
"December 9, 2015",Texas,Paris,"2400 block of Wext Kaufman Street",0,0,N/A
"December 9, 2015",Michigan,Detroit,"8600 block of Kentucky Street",0,2,N/A
"December 9, 2015",Georgia,Lagrange,"400 block of Harwell Avenue",0,0,N/A
"December 9, 2015",Pennsylvania,Columbia,"200 block of Union Street",0,0,N/A
"December 8, 2015",Vermont,Salisbury,"879 Shard Villa Road",0,0,N/A
"December 8, 2015",Florida,"West Palm Beach","1300 block of 8th Street",1,1,N/A
"December 8, 2015",Oregon,Beaverton,"Southwest Horizon Boulevard and Barrows Road",0,0,N/A
"December 8, 2015",Oregon,Williams,"130 Sheraton Drive",0,1,N/A
"December 7, 2015","North Carolina",Lumberton,"4000 block of Union Chapel Road",1,0,N/A
"December 7, 2015",Maryland,Baltimore,"100 block of W. Pennsylvania Ave",1,0,N/A
"December 7, 2015","New York",Jamaica,"177-39 145th Ave",1,0,N/A
"December 7, 2015",Georgia,Lawrenceville,N/A,0,0,N/A
"December 6, 2015",Oregon,Vale,"Washington Street",1,0,N/A
"December 6, 2015",Texas,Houston,"500 block of Cypress Station Drive",1,0,N/A
"December 6, 2015","New Mexico",Albuquerque,"13300 block of Sunset Canyon N.E.",0,1,N/A
"December 6, 2015",Kansas,Wichita,"1600 block of S. Martinson Street",0,1,N/A
"December 6, 2015",Arizona,Tucson,"333 West Grant Road",1,0,N/A
"December 6, 2015",Pennsylvania,Lancaster,"1300 block of Porter Street",0,1,N/A
"December 6, 2015",Texas,"San Antonio","7914 Culebra Rd",1,0,N/A
"December 5, 2015",Illinois,Midlothian,"3300 block of 147th Street",0,0,N/A
"December 5, 2015",Louisiana,"New Orleans","5500 block of Annunciation Street",0,1,N/A
"December 5, 2015","New York",Constantia,"1573 NY 49",0,0,N/A
"December 5, 2015",Arizona,Phoenix,"5100 West Berkeley",0,1,N/A
"December 5, 2015",Michigan,Ferndale,"200 block of Livernois",0,1,N/A
"December 4, 2015",Utah,"West Jordan","7000 South and 1300 West",0,1,N/A
"December 4, 2015","South Carolina","Boiling Springs","9159 Asheville Hwy.",0,2,N/A
"December 3, 2015",Georgia,Savannah,"2500 block of Oak Forest Drive",1,1,N/A
"December 3, 2015",Georgia,Carrollton,"227 Brumbelow Road",0,2,N/A
"December 3, 2015",Utah,"South Jordan","3800 W Mandrake Way",0,0,N/A
"December 3, 2015","New York","Niagara Falls","2200 block of Cudaback",0,1,N/A
"December 3, 2015",Alaska,Anchorage,"5716 Debarr Road",0,0,N/A
"December 3, 2015","New York",Bronx,"1738 East Gun Hill",0,0,N/A
"December 3, 2015",Florida,"Winter Park","700 block of Williams Drive",0,1,N/A
"December 3, 2015",Texas,Dallas,"5100 block of Village Fair Drive",0,1,N/A
"December 2, 2015",Oklahoma,Tulsa,"45th and Peoria",0,0,N/A
"December 2, 2015",Georgia,Albany,"Pryor Street",0,0,N/A
"December 2, 2015","New York",Cicero,"5650 East Circle Drive",0,1,N/A
"December 1, 2015",Colorado,"Colorado Springs","Circle Drive",0,0,N/A
"December 1, 2015",Florida,Bradenton,"5600 block of 12th Street East",0,1,N/A
"December 1, 2015",Tennessee,Cleveland,"21st Street",0,0,N/A
"December 1, 2015",Connecticut,"New Haven","James Street and Saltonstall Avenue",0,1,N/A
"December 1, 2015",Michigan,Troy,"888 West Big Beaver",0,1,N/A
"December 1, 2015",Nevada,"North Las Vegas","Craig Road and Pecos Road",0,1,N/A
"December 1, 2015",Arkansas,"Little Rock","1201 S. Woodrow St",0,0,N/A
"November 30, 2015",Pennsylvania,"Harrisburg (Lower Paxton)","Huron Drive and Union Deposit Road",0,0,N/A
"November 30, 2015",Florida,"Panama City Beach","2322 Allison Ave",0,1,N/A
"November 30, 2015","North Carolina","Onslow (county)","Murrill Hill Road",1,1,N/A
"November 30, 2015",Wisconsin,Waupun,"200 block of Rounsville",0,1,N/A
"November 30, 2015",Georgia,Mcdonough,"2000 block of Sable Chase Boulevard",2,0,N/A
"November 30, 2015",Illinois,Peoria,"1119 W. Nebraska",1,0,N/A
"November 30, 2015",Georgia,"Stone Mountain","1401 North Hairston",1,0,N/A
"November 30, 2015",Texas,Dallas,"7300 block of Benning Avenue",0,1,N/A
"November 30, 2015",Washington,Woodland,"Lahti Road",0,0,N/A
"November 29, 2015",Missouri,"Saint Louis","5900 block of Riverview Boulevard",1,0,N/A
"November 29, 2015",Florida,Tampa,"610 Armenia Avenue",1,0,N/A
"November 29, 2015","North Carolina",Wilmington,"Market Street",1,0,N/A
"November 29, 2015",Oklahoma,Tulsa,"7939 E. 41st Street S.",0,1,N/A
"November 28, 2015","West Virginia",Belle,"2000 block of East Dupont Avenue",1,0,N/A
"November 28, 2015",Pennsylvania,Allentown,"120 W. Chew St",0,0,N/A
"November 28, 2015",Ohio,"Tipp City","1150 W. Main St",0,0,N/A
"November 28, 2015","North Carolina",Grover,"1543 Longbranch Road",0,2,N/A
"November 28, 2015",Louisiana,Ragley,"Papania Rd",1,0,N/A
"November 28, 2015",Ohio,"Cleveland (Parma)","5385 Pearl Road",1,1,N/A
"November 28, 2015",Washington,"Seattle (West Seattle)","9000 block of Delridge Way Southwest",0,1,N/A
"November 28, 2015",Georgia,Atlanta,"77 12th Street",0,0,N/A
"November 27, 2015","West Virginia",Daniels,"Oak St.",0,0,N/A
"November 27, 2015",Texas,"Humble (Atascocita)","18900 block of Kemble Rd",1,0,N/A
"November 26, 2015",Montana,Bonner,"Highway 200",0,1,N/A
"November 26, 2015",Montana,Townsend,N/A,0,0,N/A
"November 26, 2015",Colorado,Pueblo,"200 block of Henkel Place",0,1,N/A
"November 26, 2015","New York","Corfu (Pembroke)",N/A,0,1,N/A
"November 25, 2015",Kentucky,Louisville,"Fourth Street and Oak Street",0,0,N/A
"November 25, 2015","West Virginia","Clarksburg (Wilsonburg)","Turkey Foot Hollow Road",0,1,N/A
